"i" "j" "cor" "p"
"363" "visits" "freq" -0.704923275607036 -0.704923275607036
"364" "sales_last_12months" "freq" -0.425085728076021 -0.425085728076021
"365" "visits_last_12months" "freq" -0.637022348784149 -0.637022348784149
"366" "tenure..in.days." "freq" -0.0872069366551342 -0.0872069366551342
"367" "Days.since.first.visit" "freq" -0.198575551367454 -0.198575551367454
"368" "sales_q1" "freq" -0.275707504027821 -0.275707504027821
"369" "sales_q3" "freq" -0.373356381177033 -0.373356381177033
"370" "sales_q4" "freq" -0.402087964597396 -0.402087964597396
"371" "sales_last_6months" "freq" -0.346255431873666 -0.346255431873666
"372" "visits_q1" "freq" -0.426167696741819 -0.426167696741819
"373" "visits_q3" "freq" -0.569730143598285 -0.569730143598285
"374" "visits_q4" "freq" -0.575349367302794 -0.575349367302794
"375" "visits_last_6months" "freq" -0.529446164530984 -0.529446164530984
"376" "visit_months" "freq" -0.709464196478189 -0.709464196478189
"377" "freq_last_6months" "freq" 0.338397296203301 0.338397296203301
"378" "freq_last_12months" "freq" 0.674379580921663 0.674379580921663
"379" "churn_flag" "freq_per_chg_yoy" 0.0630850012874237 0.0630850012874237
"380" "promo_sales_per" "freq_per_chg_yoy" 0.0336720052010688 0.0336720052010688
"381" "margin_per" "freq_per_chg_yoy" -0.0272222903293288 -0.0272222903293288
"382" "food_visits_per" "freq_per_chg_yoy" -0.0308941402855926 -0.0308941402855926
"383" "food_sales_per" "freq_per_chg_yoy" -0.0414667727122975 -0.0414667727122975
"384" "food_promo_per" "freq_per_chg_yoy" 0.0130085950123694 0.0130085950123694
"385" "non_food_promo_per" "freq_per_chg_yoy" 0.0310725042191691 0.0310725042191691
